"Term","Df","Variance","F","Pr(>F)","Significance"
"B1",1,0.000139985460165492,0.467000691578372,0.669,""
"B2",1,0.00174089188007687,5.80772968133931,0.003,"**"
"L1",1,0.00281211957065904,9.38141563235423,0.001,"***"
"L2",1,0.000164163926197627,0.547661642686882,0.603,""
"origin",1,0.0333570314801677,111.281248436971,0.001,"***"
"B1:origin",1,0.000169228859955295,0.564558594447682,0.603,""
"B2:origin",1,0.000403010582114227,1.344469778063,0.241,""
"L1:origin",1,0.000337585097129299,1.12620606196927,0.294,""
"L2:origin",1,0.000239398468043675,0.798649016883818,0.466,""
"Residual",113,0.033872234632539,NA,NA,NA
